name,link
"ד""ר ליבוביץ דב",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=F2D6F580C45CECFA93D3A0BCADE05C97800544EB5CED6B5F18BB4BB4777B5796&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר אוברמן אנטוני",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=3CDE589DC2D3B6870BFDDCCEDF6F77E7F1659B6DE2FE6B717401BA225E8F5732&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר קושרובסקי גלינה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=0B4F1EA837E27A0305B1EC378ABABD326FA962BBB4B9A20F3939908CACAE97FC&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר מסלובסקי איגור",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=451100367D1CCC47222017CF005885F8D3367DE0179ECD7567FA7565EAC3F58A&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר פרמן בלה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=659BCF7BD186D0F6ECA6BC569A0E4E31F0561B811A3B142BB35356C07D85E698&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר ליובימוב לאוניד",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=5445B9ADCFE50FE328DDA749A06214389A69CF045FEFC19D2E77F947155845C8&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר קלייטמן לודמילה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=B178914BE71B5E1AE85760E3F39029A899635B2D5FB48F5C35DD7E9223CC5C05&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר נוביק פולינה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=9D5ABC75A783249159DB6106AAA7FD44FDF01D61A4A1C3090D96EE344A4C3EE5&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר דרוז'ניקוב טטיאנה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=E55B1A1CF94A03E183F9C12F286A41532D7FFC70A7C874B637DBF4E107D3BF3A&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
 רופא תורן,http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=9FA932F988FD4BE8FBA7FCF8B5B7E2A8DD81FD4FF8BFC690FBCC1ECDC2705563&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
 רופא תורן,http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=856712F741C55DF9ABA3D7C56EA91FE9EA7D0D6C7731D95E09CC7798C73641FC&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר פטלון טובה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=127B48E1B8E18F9AB5253C12E034B5B65E488469D28C6D420E13E58D5D6FE20B&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר נהיר ברק",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=509B28076EE3C7C821498353F3D137C78443A68EE901BB3720D41B6C6D194D7D&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר פרץ אסף",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=0B3860482BAC32F9404F181D1DF913D80B688B9A58F3F21683FF5D528EDAC173&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר דזצין ילנה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=A5E99F4944090867A2408A2E37F879E208A57752DB8EA0618EB4FF4F9501D119&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר אנדרחנוב תמרה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=7F97E385663F9FD84A49ED07F6450842D9231345386FE71C720CC6656F114739&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר קוזמין אולגה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=51AC7DBDE73E63523A2F0CBC234EFA89D8418124774080BC2A2F40125F16ADE5&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר חובל דוד",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=DEEB820DD6549AC388E80B781823329DFAC7704CA14D8111BC4B6FA9B600CA00&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר פוטוריאנסקי מרגריטה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=09BB6B4C2C72998C01BBA418F8D81F1BCBDF3F7AC5F4BFF72A95DAB727A2B5CD&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר גוניקמן נטליה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=71BCC831453A9FD66695CD71339CCF1CB8F9F937B8C9C396751D09F125A7CC51&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר צ'ורניה לריסה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=B1413D15BC6D88B560569DF55D3DD60192ED8C0D431994A7D2BBAED9E449F000&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר צוכמן רומן",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=A97C4B9FE5C3D9C51EF5B4211FEFECA8E280A77F612E77A1348820CE29841675&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר אנדרחנוב תמרה",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=BE4398FC3C27B6D43F0ED0682F4021CEECC117E510BCC467F75E46666FF49F67&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
"ד""ר רוזנבלום עומר",http://serguide.maccabi4u.co.il/heb/doctors/doctorssearchresults/doctorsinfopage/?ItemKeyIndex=F9238B782E6F8AD4C72D33C3BF61A6A5958C24E129B58E8AB5ECC9BC2123D673&RequestId=7ba9ff7d-07c8-3eae-335d-fd70b3b80d5f&Source=SearchPageResults
